Date,Season,Competition,Stage,Home Team,Away Team,Home Goals,Away Goals,Neutral,Match Result,Home Team Country,Away Team Country,Home Team Region,Away Team Region,Cross Region Match,Venue Altitude (m),Away Team Altitude (m),Altitude Difference (m),Travel Distance (km),Climate Zone
2010-01-10,2010,African Cup of Nations,Group Stage,Angola,Mali,4,4,False,Draw,Angola,Mali,Southern Africa,West Africa,Yes,60,370,-310,,Tropical
2010-01-14,2010,African Cup of Nations,Group Stage,Angola,Malawi,2,0,False,Home Win,Angola,Malawi,Southern Africa,Southern Africa,No,60,1050,-990,,Tropical
2010-01-18,2010,African Cup of Nations,Group Stage,Angola,Algeria,0,0,False,Draw,Angola,Algeria,Southern Africa,North Africa,Yes,60,424,-364,,Tropical
2010-01-24,2010,African Cup of Nations,Quarter-final,Angola,Ghana,0,1,False,Away Win,Angola,Ghana,Southern Africa,West Africa,Yes,60,61,-1,,Tropical
2010-07-16,2010,CAF Champions League,Group Stage,ES Setif,Esperance de Tunis,0,1,False,Away Win,Algeria,Tunisia,North Africa,North Africa,No,1096,10,1086,431.9,Semi-Arid
2010-07-18,2010,CAF Champions League,Group Stage,Dynamos,TP Mazembe,0,2,False,Away Win,Zimbabwe,DR Congo,Southern Africa,Central Africa,Yes,1490,1250,240,786.0,Tropical
2010-07-18,2010,CAF Champions League,Group Stage,Heartland,Al Ahly,1,1,False,Draw,Nigeria,Egypt,West Africa,North Africa,Yes,80,23,57,3721.1,Tropical
2010-07-18,2010,CAF Champions League,Group Stage,Ismaily,JS Kabylie,0,1,False,Away Win,Egypt,Algeria,North Africa,North Africa,No,5,250,-245,2637.0,Arid
2010-07-31,2010,CAF Champions League,Group Stage,Esperance de Tunis,Dynamos,1,0,False,Home Win,Tunisia,Zimbabwe,North Africa,Southern Africa,Yes,10,1490,-1480,6458.0,Mediterranean
2010-07-31,2010,CAF Champions League,Group Stage,JS Kabylie,Heartland,1,0,False,Home Win,Algeria,Nigeria,North Africa,West Africa,Yes,250,80,170,3469.0,Mediterranean
2010-08-01,2010,CAF Champions League,Group Stage,TP Mazembe,ES Setif,2,2,False,Draw,DR Congo,Algeria,Central Africa,North Africa,Yes,1250,1096,154,5802.4,Tropical
2010-08-01,2010,CAF Champions League,Group Stage,Al Ahly,Ismaily,2,1,False,Home Win,Egypt,Egypt,North Africa,North Africa,No,23,5,18,114.6,Arid
2010-08-15,2010,CAF Champions League,Group Stage,TP Mazembe,Esperance de Tunis,2,1,False,Home Win,DR Congo,Tunisia,Central Africa,North Africa,Yes,1250,10,1240,5685.2,Tropical
2010-08-15,2010,CAF Champions League,Group Stage,Dynamos,ES Setif,1,0,False,Home Win,Zimbabwe,Algeria,Southern Africa,North Africa,Yes,1490,1096,394,6584.1,Tropical
